Reference, Value, Footprint, Datasheet
P6,CONN_01X04,,
P4,CONN_01X08,,
P5,CONN_01X08,,
P2,CONN_01X15,,
P3,CONN_01X15,,
P7,CONN_01X19,,
P1,CONN_01X19,,
C1,100u,,
